Month,Day,Hour,DC Array Output (W),AC System Output (W)
2,6,22,0.0,0.0
2,6,23,0.0,0.0
2,7,0,0.0,0.0
2,7,1,0.0,0.0
2,7,2,0.0,0.0
2,7,3,0.0,0.0
2,7,4,0.0,0.0
2,7,5,0.0,0.0
2,7,6,0.0,0.0
2,7,7,65.836,47.649
2,7,8,684.977,644.851
2,7,9,1909.249,1825.742
2,7,10,2400.551,2299.636
2,7,11,2007.951,1920.947
2,7,12,1368.906,1304.546
2,7,13,1449.474,1382.259
2,7,14,847.598,801.71
2,7,15,556.262,520.697
2,7,16,179.802,157.577
2,7,17,12.312,0.0
2,7,18,0.0,0.0
2,7,19,0.0,0.0
2,7,20,0.0,0.0
2,7,21,0.0,0.0
2,7,22,0.0,0.0
2,7,23,0.0,0.0
2,8,0,0.0,0.0
2,8,1,0.0,0.0
2,8,2,0.0,0.0
2,8,3,0.0,0.0
2,8,4,0.0,0.0
2,8,5,0.0,0.0
2,8,6,0.0,0.0
2,8,7,114.106,94.209
2,8,8,1276.158,1215.085
2,8,9,2178.809,2085.751
2,8,10,2797.115,2682.148
2,8,11,3144.149,3016.885
2,8,12,3229.74,3099.443
2,8,13,3054.416,2930.332
2,8,14,2616.653,2508.08
2,8,15,1946.139,1861.325
2,8,16,1012.124,960.406
2,8,17,59.989,42.009
2,8,18,0.0,0.0
2,8,19,0.0,0.0
2,8,20,0.0,0.0
2,8,21,0.0,0.0
2,8,22,0.0,0.0
2,8,23,0.0,0.0
2,9,0,0.0,0.0
2,9,1,0.0,0.0
2,9,2,0.0,0.0
2,9,3,0.0,0.0
2,9,4,0.0,0.0
2,9,5,0.0,0.0
2,9,6,0.0,0.0
2,9,7,33.105,16.078
2,9,8,456.724,424.686
2,9,9,653.775,614.755
2,9,10,682.958,642.904
2,9,11,830.767,785.475
2,9,12,682.608,642.566
2,9,13,1264.3,1203.646
2,9,14,1003.846,952.422
2,9,15,1087.683,1033.288
2,9,16,150.063,128.891
2,9,17,16.175,0.0
2,9,18,0.0,0.0
2,9,19,0.0,0.0
2,9,20,0.0,0.0
2,9,21,0.0,0.0
